"Time (ms)","TE","TS","FK","FH"
"2069","30.79687","51.25888","131.1225","75.89529"
"2102","21.92318","46.15689","130.3719","83.72894"
"2135","19.23934","47.13478","133.1713","92.91302"
"2169","60.76595","59.03815","148.0429","100.8775"
"2202","115.2132","78.64117","175.8958","106.4362"
"2236","150.5288","101.1652","202.3481","109.7899"
"2269","163.5266","124.6494","212.8932","112.4413"
"2302","173.9482","150.1428","206.4686","117.8697"
"2336","189.4855","180.329","192.7337","130.4237"
"2369","190.349","215.5262","187.0128","150.8424"
"2402","161.2048","248.3496","200.4922","175.8546"
"2436","141.918","269.7817","225.1893","202.1709"
"2469","173.2837","281.697","233.5371","226.7144"
"2503","193.7672","292.7073","207.4209","246.2945"
"2536","186.0642","307.5601","174.2933","258.4832"
"2569","249.7605","337.188","173.3307","256.4792"
"2603","432.0094","405.2676","170.748","224.7825"
"2636","751.0702","510.879","102.3236","153.6397"
"2669","1077.158","590.0389","88.23101","62.45789"
"2703","1125.259","564.6389",,"17.84769"
"2736","832.4562","435.5796","145.9383","41.43039"
"2769","542.928","283.7649","86.72138","61.36542"
"2803","626.3435",,"67.05867","127.056"
"2836","725.0405","191.9267",,"206.175"
"2870","599.1369","177.0989",,
"2903","309.6437","179.5034",,
"2936","160.6087","167.9346",,
