"Time (ms)","TS","TE","FK","FH"
"2402","79.51886","71.98365","135.0574","51.59197"
"2436","90.25655","117.1852","147.1213","67.22041"
"2469","94.75125","144.2326","162.1792","84.35102"
"2503","90.5621","147.4433","177.0309","95.92079"
"2536","84.44745","124.6689","190.8441","99.39375"
"2569","88.02274","79.11932","203.5648","97.35254"
"2603","116.6798","43.4575","214.2457","95.6318"
"2636","156.8278","31.89744","221.7902","99.0792"
"2669","170.6355","65.9668","227.5885","108.5406"
"2703","151.7733","108.9958","236.1377","122.1542"
"2736","130.3303","159.3868","251.5664","138.3503"
"2769","133.9782","213.473","273.0789","156.3934"
"2803","163.2312","254.6104","293.7799","174.21"
"2836","203.665","258.0065","304.0112","187.0828"
"2870","236.2931","206.7652","294.244","189.0471"
"2903","257.3807","147.8454","256.8666","176.2289"
"2936","288.9832","148.0303","193.0708","149.5674"
"2970","339.6837","310.8469","117.4422","113.5854"
"3003","372.2323","585.6343","49.6124","75.28722"
"3036","349.008","730.5998","15.91988","53.12155"
"3070","292.9563","703.221","35.98594","64.222"
"3103","251.4289","639.985","42.65171","80.34189"
"3136","219.2686","519.0646","33.70731","84.82486"
"3170","161.0962","378.5388","20.73893","81.25909"
"3203","100.3693","374.9503","19.98496","78.01507"
